DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,MPN,DESCRIPTION,MOUNT TYPE
"C1, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7, C9",12,,1u,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
C10,1,,DNP,C_0402_1005Metric,,,smt
C11,1,,DNP,C_0402_1005Metric,,,smt
C8,1,,DNP,C_0402_1005Metric,,,smt
"D1, D5",2,NXP,"BAS16J,135",D_SOD-323F,"BAS16J,135",DIODE,smt
"D2, D3",2,NEXPERIA,"PDZ16B,115",D_SOD-323,"PDZ16B,115",ZENER DIODE,smt
D4,1,,SMF24CA,D_SOD-123F,SMF24CA,TVS DIODE,smt
J1,1,TE CONNECTIVITY,1827685-1 or  1827685-4,1827685-1,1827685-1 or  1827685-4,"CONNECTOR, alternative:  1827685-4",tht
"J2, J3, J4, J5",4,Mill-Max,9137-0-00-15-00-00-38-0,9137-0-00-15-00-00-38-0,9137-0-00-15-00-00-38-0,SPECIAL MOUNTING INSTRUCTIONS!!! NAIL PIN,tht
"R1, R23, R6",3,,1k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R10, R2, R3, R4, R5, R7, R8, R9",8,,33R,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R11, R13",2,,100R,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R12,1,BOURNS,CSS2H-2512K-3L00F,R_2512_6332Metric,CSS2H-2512K-3L00F,SHUNT 3mOhm 4W,smt
R14,1,,4k5,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R15, R31",2,,1M,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R16, R22",2,,10M,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R17, R19, R21, R25, R29, R30",6,,10k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R18, R20",2,,750k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R24,1,,3M3,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R26, R27, R28",3,,450k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"U1, U4",2,VISHAY,SIR180ADP-T1-RE3,PowerPAK_SO-8_Single,SIR180ADP-T1-RE3,NFET 60V 137A,smt
"U2, U3",2,TEXAS INSTRUMENTS,BQ7791508PW,TSSOP-24_4.4x7.8mm_P0.65mm,BQ7791508PW,BATTERY PROTECTION IC,smt
