pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
61.2,-12.3,0.0,bottom,C1,,,C_0402_1005Metric,1u,smt
37.7,-13.9,90.0,bottom,C10,,,C_0402_1005Metric,DNP,smt
35.9,-12.6,180.0,bottom,C11,,,C_0402_1005Metric,DNP,smt
60.8,-14.5,180.0,bottom,C12,,,C_0402_1005Metric,1u,smt
39.2,-20.7,0.0,bottom,C13,,,C_0402_1005Metric,1u,smt
60.5,-19.2,90.0,bottom,C14,,,C_0402_1005Metric,1u,smt
37.5,-15.7,-90.0,bottom,C15,,,C_0402_1005Metric,1u,smt
61.1,-16.7,-90.0,bottom,C2,,,C_0402_1005Metric,1u,smt
61.9,-17.65,-90.0,bottom,C3,,,C_0402_1005Metric,1u,smt
62.3,-19.0,0.0,bottom,C4,,,C_0402_1005Metric,1u,smt
35.74,-18.18,90.0,bottom,C5,,,C_0402_1005Metric,1u,smt
34.7,-17.28,90.0,bottom,C6,,,C_0402_1005Metric,1u,smt
36.0,-16.3,180.0,bottom,C7,,,C_0402_1005Metric,1u,smt
34.6,-15.5,-90.0,bottom,C8,,,C_0402_1005Metric,DNP,smt
37.3,-20.6,180.0,bottom,C9,,,C_0402_1005Metric,1u,smt
49.0,-19.7,-90.0,bottom,D1,,,D_SOD-323F,"BAS16J,135",smt
51.1,-12.1,90.0,bottom,D2,,,D_SOD-323,"PDZ16B,115",smt
28.0,-6.5,-90.0,bottom,D3,,,D_SOD-323,"PDZ16B,115",smt
56.0,-11.25,180.0,bottom,D4,,,D_SOD-123F,SMF24CA,smt
49.4,-12.2,-90.0,bottom,D5,,,D_SOD-323F,"BAS16J,135",smt
67.5,-8.5,180.0,bottom,H1,,,Mounting_Wuerth_WA-SMSI-M2_H1.5mm_9774015243,9774010243R,smt
20.5,-21.5,180.0,bottom,H2,,,Mounting_Wuerth_WA-SMSI-M2_H1.5mm_9774015243,9774010243R,smt
67.5,-21.5,180.0,bottom,H3,,,Mounting_Wuerth_WA-SMSI-M2_H1.5mm_9774015243,9774010243R,smt
20.5,-8.5,180.0,bottom,H4,,,Mounting_Wuerth_WA-SMSI-M2_H1.5mm_9774015243,9774010243R,smt
55.5,-8.35,0.0,bottom,J1,,,1827685-1,1827685-1,tht
67.5,-13.5,90.0,top,J2,,,9137-0-00-15-00-00-38-0,9137-0-00-15-00-00-38-0,smt
67.5,-16.5,90.0,top,J3,,,9137-0-00-15-00-00-38-0,9137-0-00-15-00-00-38-0,smt
20.5,-16.5,90.0,top,J4,,,9137-0-00-15-00-00-38-0,9137-0-00-15-00-00-38-0,smt
20.5,-13.5,90.0,top,J5,,,9137-0-00-15-00-00-38-0,9137-0-00-15-00-00-38-0,smt
61.16,-13.25,180.0,bottom,R1,,,R_0402_1005Metric,1k,smt
35.9,-15.3,0.0,bottom,R10,,,R_0402_1005Metric,33R,smt
34.1,-14.3,180.0,bottom,R11,,,R_0402_1005Metric,100R,smt
26.0,-12.0,-90.0,bottom,R12,,,R_2512_6332Metric,CSS2H-2512K-3L00F,smt
35.9,-13.5,180.0,bottom,R13,,,R_0402_1005Metric,100R,smt
37.7,-12.6,180.0,bottom,R14,,,R_0402_1005Metric,4k5,smt
30.9,-12.1,180.0,bottom,R15,,,R_0402_1005Metric,1M,smt
47.0,-20.1,180.0,bottom,R16,,,R_0402_1005Metric,10M,smt
51.0,-17.0,-90.0,bottom,R17,,,R_0402_1005Metric,10k,smt
50.5,-18.5,180.0,bottom,R18,,,R_0402_1005Metric,750k,smt
47.2,-16.5,180.0,bottom,R19,,,R_0402_1005Metric,10k,smt
62.3,-16.2,180.0,bottom,R2,,,R_0402_1005Metric,33R,smt
47.5,-15.6,0.0,bottom,R20,,,R_0402_1005Metric,750k,smt
47.0,-14.7,0.0,bottom,R21,,,R_0402_1005Metric,10k,smt
47.0,-19.2,180.0,bottom,R22,,,R_0402_1005Metric,10M,smt
46.8,-12.9,0.0,bottom,R23,,,R_0402_1005Metric,1k,smt
46.9,-11.6,0.0,bottom,R24,,,R_0402_1005Metric,3M3,smt
50.5,-20.4,180.0,bottom,R25,,,R_0402_1005Metric,10k,smt
49.7,-17.6,0.0,bottom,R26,,,R_0402_1005Metric,450k,smt
46.9,-13.8,0.0,bottom,R27,,,R_0402_1005Metric,450k,smt
47.0,-21.0,180.0,bottom,R28,,,R_0402_1005Metric,450k,smt
50.5,-19.5,180.0,bottom,R29,,,R_0402_1005Metric,10k,smt
63.1,-17.15,180.0,bottom,R3,,,R_0402_1005Metric,33R,smt
50.7,-14.4,180.0,bottom,R30,,,R_0402_1005Metric,10k,smt
48.2,-12.8,90.0,bottom,R31,,,R_0402_1005Metric,1M,smt
63.1,-18.15,180.0,bottom,R4,,,R_0402_1005Metric,33R,smt
62.3,-20.0,180.0,bottom,R5,,,R_0402_1005Metric,33R,smt
37.3,-19.7,0.0,bottom,R6,,,R_0402_1005Metric,1k,smt
34.34,-18.68,0.0,bottom,R7,,,R_0402_1005Metric,33R,smt
33.44,-17.78,0.0,bottom,R8,,,R_0402_1005Metric,33R,smt
33.44,-16.88,0.0,bottom,R9,,,R_0402_1005Metric,33R,smt
32.4,-8.85,0.0,bottom,U1,,,PowerPAK_SO-8_Single,SIR180ADP-T1-RE3,smt
56.0,-16.3,180.0,bottom,U2,,,TSSOP-24_4.4x7.8mm_P0.65mm,BQ7791508PW,smt
42.26,-16.3,0.0,bottom,U3,,,TSSOP-24_4.4x7.8mm_P0.65mm,BQ7791508PW,smt
