DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,MPN,DESCRIPTION,MOUNT TYPE
C1,1,,33n,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
"C10, C11, C18",3,,10u 6.3V,C_0603_1608Metric,,MLCC 0603 50V X7S/R,smt
"C12, C13, C9",3,,100n,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
"C14, C15",2,,330p,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
"C16, C2, C4, C7",4,,10u 50V,C_1206_3216Metric,,MLCC 1206 50V X7S/R,smt
"C17, C3, C5, C8",4,,1u 50V,C_0603_1608Metric,,MLCC 0603 50V X7S/R,smt
C6,1,,4.7nF,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
D1,1,,LED_RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,,LED RED 0402,smt
D3,1,DIODES INC,B140-13-F,D_SMA,B140-13-F,SCHOTTKY 40V 1A SMA,smt
"H1, H2",2,WUERTH,9774040243,Mounting_Wuerth_WA-SMSI-M2_H4mm_9774040243,9774040243,WUERT STANDOFF M2 H4 SMSI,smt
J1,1,JST,SM06B-GHS-TBT,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,SM06B-GHS-TBT,CON 6 POL,smt
J2,1,GCT,USB4140-GF-0170-C,GCT_USB4140-GF-0170-C_REV0.4,USB4140-GF-0170-C,USB C CON,smt
L1,1,COILCRAFT,XGL5030-103MEC,L_Coilcraft_XAL5030-XXX,XGL5030-103MEC,INDUCTOR 10uH 5.7A,smt
R1,1,,194k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R10, R2",2,,10k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R4,1,,40.2k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R11, R12, R17, R18, R20, R24, R7, R8, R9",9,,100k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R13, R15",2,,12k1,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R14,1,,115k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R16,1,,5k1,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R3,1,THIN FILM TECH CORP,D1WEL1206MR200D-T5,R_1206_3216Metric,D1WEL1206MR200D-T5,RES 0.2 OHM 1206,smt
R5,1,,1k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R6,1,,352k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
SW1,1,C&K,JS202011CQN,SW_CK_JS202011CQN_DPDT_Straight,JS202011CQN,SWITCH DPDT,tht
U1,1,ANALOG DEVICES,LT3477EUF#PBF,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,LT3477EUF#PBF,BOOST CV CC,smt
U2,1,TEXAS INSTRUMENTS,TPS25730DREFR,Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,TPS25730DREFR,USB C PD CONTROLLER,smt
U3,1,TEXAS INSTRUMENTS,TVS2200DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,TVS2200DRVR,TVS PROTECTION,smt
