DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,MPN,DESCRIPTION,MOUNT TYPE
"C1, C2, C5, C6",4,,100n,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
D1,1,,SMAJ5.0,D_SMA,SMAJ5.0,TVS DIODE,smt
D2,1,,LED Green,LED_0402_1005Metric,,LED 0402 GREEN,smt
D3,1,,LED Red,LED_0402_1005Metric,,LED 0402 RED,smt
D5,1,DIOTEC,NUP2105L,SOT-23,NUP2105L,ESD DIODE,smt
"H1, H2, H3, H4",4,,DNP,,,,smt
"J2, J8",2,HIROSE,BK13C06-10DS/2-0.35V(895),Hirose_BK13C06-10DS_2x06_P0.35mm,BK13C06-10DS/2-0.35V(895),CON,tht
J6,1,SAMTEC,FTSH-102-02-F-D-RA,PinHeader_2x02_P1.27mm_Horizontal,FTSH-102-02-F-D-RA,PIN HEADER,tht
J7,1,JST,BM03B-GHS-TBT,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,,CON,smt
Module1,2,HIROSE,2x DF40C-100DS-0.4V,Raspberry-Pi-4-Compute-Module,DF40C-100DS-0.4V,HD CON (2x),smt
Q1,1,NEXPERIA,"PMV65XP,215",SOT-23,,PFET,smt
"R1, R2, R3, R4, R5, R8",6,,3k3,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R10,1,,0R,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R11, R9",2,,1k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R12,1,,DNP,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,,smt
R6,1,,120R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RESISTOR 1% 0805,smt
U1,1,ONSEMI,CAT24C256HU4IGT3,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,CAT24C256HU4IGT3,EEPROM,smt
"U2, U3",2,DIODES,74LVC1G07SE-7,SOT-353_SC-70-5,,BUFFER,smt
U6,1,MICROCHIP,MCP2517FD-H/JHA,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,,CAN IC,smt
U7,1,TEXAS INSTRUMENTS,TCAN330GDCNT,SOT-23-8,,CAN TRANSCEIVER,smt
Y2,1,MURATA,CSTNE20M0V53Z000R0,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,,20MHz CERAMIC RESONATOR,smt
