DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,MPN,DESCRIPTION,MOUNT TYPE
"C1, C2",2,,1u,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
C3,1,,100n,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
J1,1,JST,SM06B-GHS-TB,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,SM06B-GHS-TB,JST CON 6POS,smt
R1,1,,DNP,R_0402_1005Metric,,,smt
"R10, R11, R8, R9",4,,0R,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R2,1,,DNP,R_0402_1005Metric,,,smt
R3,1,,DNP,R_0402_1005Metric,,,smt
R4,1,,10k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R5,1,,DNP,R_0402_1005Metric,,,smt
R6,1,,DNP,R_0402_1005Metric,,,smt
R7,1,,DNP,R_0402_1005Metric,,,smt
U1,1,AMS,AS5047D-ATSM,TSSOP-14_4.4x5mm_P0.65mm,,ON AXIS MAGNET ROTARY ENCODER,smt
