pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
173.3,-97.0,180.0,top,C1,,,C_0402_1005Metric,1u,smt
174.2,-99.0,90.0,top,C2,,,C_0402_1005Metric,1u,smt
174.2,-100.8,-90.0,top,C3,,,C_0402_1005Metric,100n,smt
170.0,-100.0,180.0,bottom,J1,,,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,SM06B-GHS-TB,smt
168.6,-97.0,180.0,top,R1,,,R_0402_1005Metric,10k DNP,smt
170.6,-97.0,0.0,top,R10,,,R_0402_1005Metric,0R,smt
168.6,-96.0,180.0,top,R11,,,R_0402_1005Metric,0R,smt
169.49,-103.2,180.0,top,R2,,,R_0402_1005Metric,10k DNP,smt
165.8,-98.4,-90.0,top,R3,,,R_0402_1005Metric,10k DNP,smt
167.5,-97.0,180.0,top,R4,,,R_0402_1005Metric,10k,smt
167.49,-103.2,0.0,top,R5,,,R_0402_1005Metric,0R DNP,smt
171.4,-103.2,0.0,top,R6,,,R_0402_1005Metric,0R DNP,smt
171.5,-97.0,180.0,top,R7,,,R_0402_1005Metric,0R DNP,smt
168.5,-103.2,180.0,top,R8,,,R_0402_1005Metric,0R,smt
172.49,-103.2,180.0,top,R9,,,R_0402_1005Metric,0R,smt
170.0,-100.0,0.0,top,U1,,,TSSOP-14_4.4x5mm_P0.65mm,AS5047D-ATSM,smt
