pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
161.8,-90.2,180.0,top,C1,,,C_0402_1005Metric,DNP,smt
126.0,-123.88,-90.0,top,C10,,,C_0402_1005Metric,100n,smt
161.8,-89.28,180.0,top,C2,,,C_0402_1005Metric,2u2,smt
164.74,-95.9,-90.0,top,C3,,,C_0402_1005Metric,2u2,smt
165.8,-96.8,90.0,top,C4,,,C_0402_1005Metric,100n,smt
164.76,-98.7,-90.0,top,C5,,,C_0402_1005Metric,100n,smt
120.82,-125.72,-90.0,top,C6,,,C_0402_1005Metric,DNP,smt
122.28,-123.08,0.0,top,C7,,,C_0402_1005Metric,2u2,smt
125.98,-125.99,-90.0,top,C8,,,C_0402_1005Metric,2u2,smt
129.12,-127.9,180.0,top,C9,,,C_0402_1005Metric,100n,smt
110.96,-108.51,90.0,top,J1,,,Hirose_BK13C06-10DP_2x06_P0.35mm,BK13C06-10DP/2-0.35V(895),smt
163.2,-89.76,-90.0,top,L1,,,L_0402_1005Metric,MLZ1005M1R0WT000,smt
120.81,-123.88,-90.0,top,L2,,,L_0402_1005Metric,MLZ1005M1R0WT000,smt
165.79,-98.71,-90.0,top,R1,,,R_0402_1005Metric,0R,smt
127.2,-127.9,180.0,top,R2,,,R_0402_1005Metric,0R,smt
162.2,-93.1,-90.0,top,U1,,,SOT-23-5,LP2980AIM5X-3.0/NOPB,smt
162.3625,-97.5,90.0,top,U2,,,bmi088,BMI088,smt
123.4,-125.3,0.0,top,U3,,,SOT-23-5,LP2980AIM5X-3.0/NOPB,smt
128.3125,-124.9,90.0,top,U4,,,bmi088,BMI088,smt
