DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,MPN,DESCRIPTION,MOUNT TYPE
"C1, C2, C404",3,,1µ,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
"C10, C11, C12, C13, C14, C15, C16, C17, C20, C21, C22, C23, C24, C25, C407, C408, C409, C7, C8, C9",20,,10u 50V,C_1206_3216Metric,,MLCC 1206 50V X7S/R,smt
"C201, C301, C302, C303, C304, C305, C306, C402, C403, C410, C411, C412",12,,100n,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
C3,1,,100p,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
C307,1,,1u,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
"C4, C501, C503",3,,22µ 16V,C_0805_2012Metric,,MLCC 0805 16V X7S/R,smt
C401,1,PANASONIC,EEHAZT1H680B,CP_Radial_D8.0mm_P3.50mm,EEHAZT1H680B,SPECIAL MOUNTING INSTRUCTIONS!!! Alu Poly Elec Radial 68u 50V,tht
C405,1,,1µ 16V X7R,C_0603_1608Metric,,MLCC 0603 16V X7R,smt
C406,1,,47n 50V X7R,C_0402_1005Metric,,MLCC 0402 50V X7S/R,smt
"C5, C6",2,,20p,C_0402_1005Metric,,MLCC 0402 50V C0G,smt
D1,1,,SMAJ22A,D_SMA,SMAJ22A,TVS DIODE 400W,smt
D301,1,,LED_B,LED_0402_1005Metric,,LED 0402 BLUE,smt
D302,1,,LED_R,LED_0402_1005Metric,,LED 0402 RED,smt
D303,1,,LED_G,LED_0402_1005Metric,,LED 0402 GREEN,smt
J1,1,SAMTEC,FTSH-105-02-F-D-RA,PinHeader_2x05_P1.27mm_Horizontal,FTSH-105-02-F-D-RA,PIN HEADER,tht
J106,1,JST,B3B-XH-A,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,B3B-XH-A,CON 3POS,tht
J2,1,JST,BM06B-GHS-TBT,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,BM06B-GHS-TBT,CON 6POS,smt
"J302, J303",2,JST,BM03B-GHS-TBT,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,BM03B-GHS-TBT,CON 3POS,smt
J6,1,SAMTEC,FTSH-102-02-F-D-RA,PinHeader_2x02_P1.27mm_Horizontal,FTSH-102-02-F-D-RA,PIN HEADER,tht
"Q401, Q402, Q403",3,ONSEMI,FDMD8240L (alternatives: FDMD8260L or FDMD8260LET60),DFN-12-2EP_3.3x5mm_Pitch0.65mm,FDMD8240L,"DUAL NMOS 40V, 98A",tht
R1,1,,22k1,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R102, R104, R106, R109",4,,20k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R103, R105, R107, R110, R304, R305, R306",7,,1k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
R114,1,,0R,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R2, R401",2,,10k,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"R402, R403, R404",3,KOA SPEER,TLR2ATTD3L00F,R_0805_2012Metric,TLR2ATTD3L00F,SHUNT 3mOHM 1% 1W,smt
TH1,1,PANASONIC,ERT-J0EG103FA,R_0402_1005Metric,ERT-J0EG103FA,NTC 10k 0402 1%,smt
U1,1,TEXAS INSTRUMENTS,LP2980AIM5X-3.0/NOPB,SOT-23-5,LP2980AIM5X-3.0/NOPB,3.0V FIXED LDO,smt
"U2, U3, U4",3,TEXAS INSTRUMENTS,INA241A2IDDFR,SOT-23-8,INA241A2IDDFR,CURRENT SENSE AMP,smt
U201,1,TEXAS INSTRUMENTS,TCAN330GDCNT,SOT-23-8,TCAN330GDCNT,3.3V CAN TRANSCEIVER,smt
U301,1,ST MICROELECTRONICS,STM32G474CET6,LQFP-48_7x7mm_P0.5mm,STM32G474CET6,MICROCONTROLLER,smt
U401,1,TEXAS INSTRUMENTS,DRV8320SRTVT,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,DRV8320SRTVT,3-PHASE SMART GATE DRIVER,smt
U501,1,CYNTEC,MUN12AD01-SH,Converter_DCDC_Cyntec_MUN12AD01-SH,MUN12AD01-SH,DC-DC Module 1V-5V 1A,smt
Y1,1,ABRACOM,ASCO-24.000MHZ-EK-T3,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,ASCO-24.000MHZ-EK-T3,OSCILLATOR,smt
