DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,PACKAGE,MPN,DESCRIPTION,MOUNT TYPE
BZ1,1,MURATA,PKMCS0909E4000-R1,Buzzer_CUI_CPT-9019S-SMT,,PKMCS0909E4000-R1,BUZZER,smt
"C1, C16, C17",3,ANY,2u2,C_0805_2012Metric,,,MLCC 0805 50V X7S/R,smt
C10,1,,22u,C_0805_2012Metric,,,MLCC 0805 25V X7S/R,smt
C11,1,,47n,C_0402_1005Metric,,,MLCC 0402 50V X7S/R,smt
"C12, C21, C29, C3, C30, C31, C46, C47, C48, C49, C50, C51",12,,1u,C_0402_1005Metric,,,MLCC 0402 50V X7S/R,smt
"C13, C14, C15, C18, C19, C20, C22, C35",8,,10µ 50V,C_1206_3216Metric,,,MLCC 1206 50V X7S/R,smt
C2,1,,DNP,CP_Elec_6.3x5.7,,,,smt
"C23, C24, C25, C26, C27, C28, C32, C33, C37, C4, C5, C6, C7",13,,100n,C_0402_1005Metric,,,MLCC 0402 50V X7S/R,smt
"C34, C41, C42, C43, C44, C45, C8, C9",8,,22µ 16V,C_0805_2012Metric,,,MLCC 0805 16V X7S/R,smt
C36,1,,2.7n,C_0402_1005Metric,,,MLCC 0402 50V X7S/R,smt
C38,1,,DNP,C_0402_1005Metric,,,,smt
C39,1,,100p,C_0402_1005Metric,,,MLCC 0402 50V X7S/R,smt
C40,1,,DNP,C_0402_1005Metric,,,,smt
"D1, D3, D4",3,,SMAJ22A,D_SMA,,SMAJ22A,TVS DIODE 400W,smt
D10,1,NEXPERIA,PMEG6010CEJ,D_SOD-323F,,PMEG6010CEJ,SCHOTTKY DIODE,smt
"D11, D15, D17, D18, D19",5,,LED_R,LED_0402_1005Metric,,,LED 0402 RED,smt
D13,1,,LED_B,LED_0402_1005Metric,,,LED 0402 BLUE,smt
D14,1,,LED_G,LED_0402_1005Metric,,,LED 0402 GREEN,smt
"D2, D7, D8",3,NEXPERIA,"BAS416,115",D_SOD-323_HandSoldering,,"BAS416,115",DIODE,smt
D9,1,NEXPERIA,"PMEG6010CEJ,115",D_SOD-323,,"PMEG6010CEJ,115",SCHOTTKY DIODE,smt
F1,1,SCHURTER,3413.0328.24,R_1206_3216Metric,,3413.0328.24,FUSE 10A 35V SLOW,smt
"H2, H4",2,WUERTH,9774010360,Mounting_Wuerth_WA-SMSI-M3_H1mm_9774010360,,9774010360,WA SMSI M3 1MM,smt
J1,1,TE CONNECTIVITY,1-1827654-1,1-1827654-1,,1-1827654-1,CONNECTOR,tht
"J10, J11, J13",3,SAMTEC,CLP-102-02-F-D,PinSocket_2x02_P1.27mm_Vertical_SMD,,CLP-102-02-F-D,PIN SOCKET,smt
