pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
14.7,-3.9,-90.0,top,BZ1,,,Buzzer_CUI_CPT-9019S-SMT,PKMCS0909E4000-R1,smt
-16.16,4.23,90.0,top,C1,,,C_0805_2012Metric,2u2,smt
-19.99,9.03,0.0,top,C10,,,C_0805_2012Metric,22u,smt
-23.73,3.83,180.0,top,C11,,,C_0402_1005Metric,47n,smt
-19.9,16.1,180.0,top,C12,,,C_0402_1005Metric,1u,smt
9.1,-22.7,-90.0,top,C13,,,C_1206_3216Metric,10µ 50V,smt
7.3,-22.7,-90.0,top,C14,,,C_1206_3216Metric,10µ 50V,smt
5.5,-22.725,-90.0,top,C15,,,C_1206_3216Metric,10µ 50V,smt
-14.55,4.23,90.0,top,C16,,,C_0805_2012Metric,2u2,smt
-12.95,4.24,90.0,top,C17,,,C_0805_2012Metric,2u2,smt
10.9,-18.6,90.0,top,C18,,,C_1206_3216Metric,10µ 50V,smt
7.7,-19.35,180.0,top,C19,,,C_1206_3216Metric,10µ 50V,smt
22.65,-14.05,-90.0,bottom,C2,,,CP_Elec_6.3x5.7,DNP,smt
3.7,-22.725,-90.0,top,C20,,,C_1206_3216Metric,10µ 50V,smt
-25.93,1.03,90.0,top,C21,,,C_0402_1005Metric,1u,smt
1.85,-22.725,-90.0,top,C22,,,C_1206_3216Metric,10µ 50V,smt
15.6,1.67,180.0,top,C23,,,C_0402_1005Metric,100n,smt
25.7,4.5,-45.0,top,C24,,,C_0402_1005Metric,100n,smt
13.5,8.8,45.0,top,C25,,,C_0402_1005Metric,100n,smt
20.9,12.8,-45.0,top,C26,,,C_0402_1005Metric,100n,smt
24.7,3.5,-45.0,top,C27,,,C_0402_1005Metric,100n,smt
23.4,2.8,-135.0,top,C28,,,C_0402_1005Metric,100n,smt
23.95,2.25,-135.0,top,C29,,,C_0402_1005Metric,1u,smt
23.12,-8.0,180.0,bottom,C3,,,C_0402_1005Metric,1u,smt
20.45,-7.25,0.0,top,C30,,,C_0402_1005Metric,1u,smt
21.0,-2.25,180.0,top,C31,,,C_0402_1005Metric,1u,smt
-18.95,11.35,180.0,top,C32,,,C_0402_1005Metric,100n,smt
22.48,18.31,180.0,top,C33,,,C_0402_1005Metric,100n,smt
24.85,-7.0,0.0,top,C34,,,C_0805_2012Metric,22µ 16V,smt
10.9,-22.7,-90.0,top,C35,,,C_1206_3216Metric,10µ 50V,smt
21.17,-21.05,180.0,top,C36,,,C_0402_1005Metric,2.7n,smt
12.8,-17.85,180.0,top,C37,,,C_0402_1005Metric,100n,smt
19.72,-21.6,90.0,top,C38,,,C_0402_1005Metric,DNP,smt
27.2,-3.3,90.0,top,C39,,,C_0402_1005Metric,100p,smt
-18.05,16.1,0.0,top,C4,,,C_0402_1005Metric,100n,smt
20.2,-23.0,180.0,top,C40,,,C_0402_1005Metric,DNP,smt
16.1,-16.8,180.0,top,C41,,,C_0805_2012Metric,22µ 16V,smt
24.625,0.05,180.0,top,C42,,,C_0805_2012Metric,22µ 16V,smt
16.095,-15.2,180.0,top,C43,,,C_0805_2012Metric,22µ 16V,smt
24.627382,-1.425,180.0,top,C44,,,C_0805_2012Metric,22µ 16V,smt
16.095,-13.6,180.0,top,C45,,,C_0805_2012Metric,22µ 16V,smt
24.8,23.0,-90.0,top,C46,,,C_0402_1005Metric,1u,smt
24.85,21.17,90.0,top,C47,,,C_0402_1005Metric,1u,smt
11.1,-13.2,0.0,top,C48,,,C_0402_1005Metric,1u,smt
12.7,-13.175,180.0,top,C49,,,C_0402_1005Metric,1u,smt
-17.91,23.35,0.0,top,C5,,,C_0402_1005Metric,100n,smt
-13.6,16.50125,-90.0,top,C50,,,C_0402_1005Metric,1u,smt
-13.6,14.70125,90.0,top,C51,,,C_0402_1005Metric,1u,smt
-21.8,4.1,180.0,top,C6,,,C_0402_1005Metric,100n,smt
-18.75,0.96,90.0,top,C7,,,C_0402_1005Metric,100n,smt
16.1,-12.0,180.0,top,C8,,,C_0805_2012Metric,22µ 16V,smt
16.1,-10.4,180.0,top,C9,,,C_0805_2012Metric,22µ 16V,smt
-17.8,-9.9,90.0,bottom,D1,,,D_SMA,SMAJ24A,smt
-22.0,16.9,0.0,top,D10,,,D_SOD-323F,PMEG6010CEJ,smt
8.5,22.5,-90.0,bottom,D11,,,LED_0402_1005Metric,LED_R,smt
26.8,2.5,-90.0,top,D13,,,LED_0402_1005Metric,LED_B,smt
26.75,8.85,180.0,top,D14,,,LED_0402_1005Metric,LED_G,smt
26.75,9.7,180.0,top,D15,,,LED_0402_1005Metric,LED_R,smt
26.15,17.7,0.0,bottom,D17,,,LED_0402_1005Metric,LED_R,smt
12.9,-10.4,90.0,bottom,D18,,,LED_0402_1005Metric,LED_R,smt
-13.34,16.19,-90.0,bottom,D19,,,LED_0402_1005Metric,LED_R,smt
-20.0,19.1,-90.0,top,D2,,,D_SOD-323_HandSoldering,"BAS416,115",smt
12.1,21.5,90.0,top,D3,,,D_SMA,SMAJ24A,smt
-14.8,-21.5,-90.0,top,D4,,,D_SMA,SMAJ24A,smt
-15.0,-0.66,-90.0,top,D7,,,D_SOD-323_HandSoldering,"BAS416,115",smt
-13.15,-0.66,-90.0,top,D8,,,D_SOD-323_HandSoldering,"BAS416,115",smt
-18.46,4.01,0.0,top,D9,,,D_SOD-323,"PMEG6010CEJ,115",smt
-17.8,-15.1,90.0,bottom,F1,,,R_1206_3216Metric,3413.0328.24,smt
25.0,-22.0,180.0,bottom,H2,,,Mounting_Wuerth_WA-SMSI-M3_H1mm_9774010360,MountingHole,smt
-25.0,22.0,180.0,bottom,H4,,,Mounting_Wuerth_WA-SMSI-M3_H1mm_9774010360,MountingHole,smt
